Region,Province,CityMun,MuniPSGC,ActiveCases
Region V: Bicol Region,CAMARINES SUR,BULA,PH051706000,1
Region VIII: Eastern Visayas,BILIRAN,NAVAL (Capital),PH087808000,1
Region VI: Western Visayas,ILOILO,MIAGAO,PH063030000,1
Region V: Bicol Region,CAMARINES NORTE,JOSE PANGANIBAN,PH051605000,1
Region X: Northern Mindanao,BUKIDNON,TALAKAG,PH101320000,1
Region II: Cagayan Valley,NUEVA VIZCAYA,QUEZON,PH025011000,3
Region VI: Western Visayas,NEGROS OCCIDENTAL,CITY OF ESCALANTE,PH064509000,1
Region I: Ilocos Region,PANGASINAN,SANTA MARIA,PH015539000,1
Region II: Cagayan Valley,ISABELA,SAN MATEO,PH023132000,4
Region IV-A: CALABARZON,LAGUNA,LILIW,PH043410000,5
Region II: Cagayan Valley,ISABELA,MALLIG,PH023119000,2
Region VII: Central Visayas,CEBU,MANDAUE CITY,PH072230000,4
CARAGA,SURIGAO DEL NORTE,SISON,PH166722000,1
Region II: Cagayan Valley,ISABELA,ALICIA,PH023101000,5
Region X: Northern Mindanao,BUKIDNON,CABANGLASAN,PH101322000,2
CARAGA,AGUSAN DEL NORTE,SANTIAGO,PH160210000,1
Region IV-A: CALABARZON,BATANGAS,MALVAR,PH041017000,2
Region IV-A: CALABARZON,LAGUNA,CITY OF CALAMBA,PH043405000,12
Region VI: Western Visayas,NEGROS OCCIDENTAL,CITY OF HIMAMAYLAN,PH064510000,1
Region IV-A: CALABARZON,QUEZON,PAGBILAO,PH045630000,2
Region X: Northern Mindanao,MISAMIS ORIENTAL,JASAAN,PH104311000,2
Region III: Central Luzon,NUEVA ECIJA,SAN JOSE CITY,PH034926000,3
Region VII: Central Visayas,BOHOL,SAGBAYAN (BORJA),PH071236000,1
Region I: Ilocos Region,PANGASINAN,MABINI,PH015523000,2
CARAGA,SURIGAO DEL SUR,CITY OF BISLIG,PH166803000,4
NCR,METRO MANILA,CITY OF PARANAQUE,PH137604000,19
Region VI: Western Visayas,ILOILO,OTON,PH063034000,2
CARAGA,AGUSAN DEL SUR,CITY OF BAYUGAN,PH160301000,5
Region XI: Davao Region,DAVAO DEL NORTE,CITY OF PANABO,PH112315000,12
Region II: Cagayan Valley,QUIRINO,SAGUDAY,PH025705000,3
Region IV-B: MIMAROPA,PALAWAN,DUMARAN,PH175311000,1
Region VIII: Eastern Visayas,LEYTE,TOLOSA,PH083749000,1
Region X: Northern Mindanao,MISAMIS ORIENTAL,SUGBONGCOGON,PH104323000,1
Region II: Cagayan Valley,ISABELA,ECHAGUE,PH023112000,10
Region I: Ilocos Region,PANGASINAN,VILLASIS,PH015547000,1
CAR,IFUGAO,LAGAWE (Capital),PH142704000,1
CARAGA,SURIGAO DEL SUR,HINATUAN,PH166809000,1
BARMM,LANAO DEL SUR,BUBONG,PH153606000,1
Region IV-A: CALABARZON,RIZAL,PILILLA,PH045810000,1
BARMM,MAGUINDANAO,MATANOG,PH153809000,3
Region II: Cagayan Valley,CAGAYAN,APARRI,PH021505000,4
Region III: Central Luzon,BATAAN,ORANI,PH030809000,5
Region XII: SOCCSKSARGEN,SOUTH COTABATO,GENERAL SANTOS CITY (DADIANGAS),PH126303000,14
NCR,METRO MANILA,CITY OF SAN JUAN,PH137405000,2
Region IV-A: CALABARZON,QUEZON,LOPEZ,PH045622000,1
Region IV-A: CALABARZON,CAVITE,SILANG,PH042118000,6
Region II: Cagayan Valley,ISABELA,AURORA,PH023103000,2
Region IV-A: CALABARZON,LAGUNA,PANGIL,PH043421000,1
CARAGA,SURIGAO DEL SUR,CARMEN,PH166806000,1
CARAGA,DINAGAT ISLANDS,BASILISA (RIZAL),PH168501000,1
Region IV-A: CALABARZON,LAGUNA,CITY OF BINAN,PH043403000,2
Region III: Central Luzon,BULACAN,SANTA MARIA,PH031423000,7
Region X: Northern Mindanao,MISAMIS ORIENTAL,TAGOLOAN,PH104324000,5
Region VII: Central Visayas,BOHOL,BATUAN,PH071207000,1
CARAGA,AGUSAN DEL SUR,TRENTO,PH160312000,1
Region I: Ilocos Region,PANGASINAN,BINMALEY,PH015513000,2
Region IV-A: CALABARZON,RIZAL,TERESA,PH045814000,2
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,ISULAN (Capital),PH126504000,2
Region I: Ilocos Region,ILOCOS NORTE,CURRIMAO,PH012808000,1
Region VI: Western Visayas,AKLAN,IBAJAY,PH060406000,1
Region VI: Western Visayas,NEGROS OCCIDENTAL,BACOLOD CITY (Capital),PH064501000,9
BARMM,SULU,JOLO (Capital),PH156602000,2
Region V: Bicol Region,CAMARINES SUR,CALABANGA,PH051708000,4
Region III: Central Luzon,PAMPANGA,SANTA ANA,PH035419000,2
Region IV-A: CALABARZON,LAGUNA,NAGCARLAN,PH043417000,2
Region X: Northern Mindanao,MISAMIS ORIENTAL,CLAVERIA,PH104306000,2
Region V: Bicol Region,CATANDUANES,VIRAC (Capital),PH052011000,1
Region VI: Western Visayas,ILOILO,CALINOG,PH063013000,3
Region III: Central Luzon,BATAAN,CITY OF BALANGA (Capital),PH030803000,10
Region X: Northern Mindanao,LANAO DEL NORTE,LALA,PH103509000,1
Region X: Northern Mindanao,CAMIGUIN,MAMBAJAO (Capital),PH101804000,1
Region VI: Western Visayas,CAPIZ,PANAY,PH061909000,1
